1,人狼め、どこに隠れておるのだ。このわしの力、見せつけてくれる！
2,拙者、人狼には決して負けぬ！腕によりをかけて、何としても見つけ出すでござる！
3,わしの目は鋭い。人狼など見逃すものか！
4,我輩は人狼狩りの名手でござる。
5,私の推理力、試す時が来たわ！人狼ゲーム、勝利を目指して挑むよ！
6,あたいの直感、信じてみてよ。絶対に人狼を見つけるわ！この人狼ゲーム、あたいのものね！
7,さあ人狼よ、覚悟しなさい！私の脳裏にはすでに答えが描かれているんだから！
8,人狼という名の獣よ、この私の力を見せてくれる！全ての謎を解き明かし、必ず勝利してやる！
9,人狼の香り、早くも感じ取っておるぞ。頼む、みんなの協力を！共に闘い、勝利を掴むんだ！
10,人狼に惑わされることなどない！理性と直感、この両剣で必ず見破るぞ！勝利はもう目前だ！
11,身の毛もよだつような人狼の存在…だが、恐怖に負けず、必ず打ち破るぞ！みんな、力を合わせて戦おう！
12,闇を照らす灯火となり、人狼の正体を暴き出す！全てはこの瞬間のため、我が勝利を信じて戦うぞ！
13,深淵をのぞく時、深淵もまたこちらをのぞいている…。我が友よ、闘志を燃やし、勇気を胸に！
14,人狼との戦い、それは自己との戦いでもある…。だが、私は立ち向かう！一緒に、この獣に対峙するぞ！
15,世界が混沌と化しても、理性を保つ者が勝つ…。人狼の正体を暴き、勝利を掴む！
16,誰もが人狼の可能性を秘めている…だが、私はその謎を解き明かし、真実を見つけ出す！
17,一見無意味に見える言葉でも、大切な手がかりになることを知っている！人狼め、私はすべてを見ているぞ！
18,どんな小さな声も、この耳には届くぞ！人狼め、その一言一句から正体を見破る！
19,ささやかな言葉の中に、真実が隠されていることもある…人狼め、その言葉を逃さぬ！
20,人狼め、その些細な発言も、この私は逃さぬ！全てを見透かし、真実を明かす！
21,我々は共に闘い、共に勝つ！人狼よ、我々の絆を試すがよい！
22,人狼よ、お前の行動、表情、言葉。全てが私の目には映っているぞ！覚悟しろ！
23,人狼よ、我々人間の結束力を侮るな！どんなに人間の仮面を被っても、狼の匂いは隠せぬ！
24,さあ、人狼ゲームの始まりだ！私の祈りが、全ての真実を暴き出すだろう。神よ、私に力を！この戦いを、制するのは私だ！
25,私の科学力で、人狼を見つけ出すことは容易いことだ。この試練、私にはちょうどいい。さあ、見ていてくれ！人狼ゲーム、勝利は私のものだ！
26,嗚呼、人狼ゲーム。私の詩で、君たちの仮面を剥ぎ取ってみせる。真実とは何か、私が教えてやろう！さあ、私の勝利を、見届けてくれ！
27,ふふ、人狼め。我がマジックの力で、貴様らの正体を見破ってみせる。さあ、ゲームを始めよう！負けるなど、あり得ない！
28,人狼ゲームの時間だな。おいおい、震えていないか？私の知恵、見てみなさい！誰が人狼か、すぐに見破ってやる！
29,うふふ、マスクをつけていても狼の匂いはわかるわ。このゲーム、私が制するのは当然よ！さあ、人狼め、私の力を見せてやるわ！
30,人狼ゲームの始まりだな。私のカリスマ性を活かして、人狼を討伐してみせる！さあ、私の勝利を見届けてくれ！
31,人狼ゲームね、私の一族は代々、狼を見つける特技を持っているのよ。その技を使って君たちを見つけ出してみせるわ！覚悟しなさい！
32,ほほう、人狼ゲームとな？私の推理力で、貴様の正体を見破ってみせる！皆の衆、私に力を貸してくれ！
33,ふん、人狼め、隠れても無駄だ。私の目は鋭い。貴様の正体を見破ってみせる！
34,ほほう、人狼ゲームか。面白い。今日の星の配置は私の勝利を告げている。何があっても、この私が勝つ！
35,人狼め、どこに隠れていようとも我輩の目からは逃れられん！マスク越しにも、お前の息遣いが聞こえてくるぞ！
36,これぞ真の試練、人狼ゲームの始まりだ！私の超直感、蔑むことなかれ。マスク越しの微かな表情変化だって読み取れるわ。さあ人狼よ、震えて待て！
37,さあ、人狼ゲームの開幕よ！私の瞳は一切を見通す鷹の目、マスク越しだって人狼の匂いを嗅ぎつけるわ！
38,私は早くも人狼の気配を感じ取っている。視線を鋭くし、耳を澄ませ、心を固くする。共に戦う仲間たちよ、力を合わせて、この闘いに挑もうではないか！真実を明かし、勝利を手に入れるのだ！
